tid,cls,row,col,class_name
0,2,258,2962,adult_females
0,2,266,3732,adult_females
0,2,269,2340,adult_females
0,2,272,3096,adult_females
0,2,276,2848,adult_females
0,2,277,2429,adult_females
0,2,280,2905,adult_females
0,2,285,3616,adult_females
0,2,298,4343,adult_females
0,2,311,4197,adult_females
0,2,318,2149,adult_females
0,2,318,3576,adult_females
0,2,320,3279,adult_females
0,2,339,3438,adult_females
0,2,341,3888,adult_females
0,2,342,2708,adult_females
0,2,345,1815,adult_females
0,2,358,3994,adult_females
0,2,358,3733,adult_females
0,2,376,4246,adult_females
0,2,379,4557,adult_females
0,2,389,2390,adult_females
0,2,400,2970,adult_females
0,2,403,4075,adult_females
0,2,407,4332,adult_females
0,2,411,3143,adult_females
0,2,418,3529,adult_females
0,2,427,4279,adult_females
0,2,428,1924,adult_females
0,2,430,3622,adult_females
0,2,436,3867,adult_females
0,2,446,4464,adult_females
0,2,450,3984,adult_females
0,2,454,2683,adult_females
0,2,456,3376,adult_females
0,2,456,4082,adult_females
0,2,456,3450,adult_females
0,2,466,4656,adult_females
0,2,487,4065,adult_females
0,2,488,1876,adult_females
0,2,488,3208,adult_females
0,2,500,3666,adult_females
0,2,504,4599,adult_females
0,2,519,3942,adult_females
0,2,521,3990,adult_females
0,2,526,2773,adult_females
0,2,529,3466,adult_females
0,2,530,2181,adult_females
0,2,531,1951,adult_females
0,2,546,3744,adult_females
0,2,550,4008,adult_females
0,2,552,3852,adult_females
0,2,553,1834,adult_females
0,2,557,3242,adult_females
0,2,558,4666,adult_females
0,2,562,1922,adult_females
0,2,575,3616,adult_females
0,2,636,3932,adult_females
0,2,637,2896,adult_females
0,2,642,1916,adult_females
0,2,642,2047,adult_females
0,2,650,2226,adult_females
0,2,652,3385,adult_females
0,2,654,3806,adult_females
0,2,656,4055,adult_females
0,2,674,4297,adult_females
0,2,693,2365,adult_females
0,2,708,2163,adult_females
0,2,715,4398,adult_females
0,2,720,3971,adult_females
0,2,726,2018,adult_females
0,2,728,2931,adult_females
0,2,741,4214,adult_females
0,2,742,2353,adult_females
0,2,749,2271,adult_females
0,2,762,2189,adult_females
0,2,774,2256,adult_females
0,2,774,2916,adult_females
0,2,779,3108,adult_females
0,2,792,2113,adult_females
0,2,792,3002,adult_females
0,2,807,3302,adult_females
0,2,818,2585,adult_females
0,2,823,4170,adult_females
0,2,824,3466,adult_females
0,2,825,2878,adult_females
0,2,827,2465,adult_females
0,2,845,3960,adult_females
0,2,857,2344,adult_females
0,2,862,4365,adult_females
0,2,864,2082,adult_females
0,2,871,3546,adult_females
0,2,873,2746,adult_females
0,2,873,4121,adult_females
0,2,874,3086,adult_females
0,2,888,3634,adult_females
0,2,890,3448,adult_females
0,2,897,2335,adult_females
0,2,918,3218,adult_females
0,2,930,3396,adult_females
0,2,936,2596,adult_females
0,2,943,3336,adult_females
0,2,944,3009,adult_females
0,2,963,2852,adult_females
0,2,964,2134,adult_females
0,2,964,3651,adult_females
0,2,982,2596,adult_females
0,2,982,3245,adult_females
0,2,992,2232,adult_females
0,2,999,4145,adult_females
0,2,1000,2075,adult_females
0,2,1009,1993,adult_females
0,2,1015,3082,adult_females
0,2,1018,3214,adult_females
0,2,1024,2285,adult_females
0,2,1026,3461,adult_females
0,2,1028,2330,adult_females
0,2,1033,2808,adult_females
0,2,1047,2717,adult_females
0,2,1047,2952,adult_females
0,2,1052,3378,adult_females
0,2,1058,2569,adult_females
0,2,1063,2022,adult_females
0,2,1064,4039,adult_females
0,2,1076,2710,adult_females
0,2,1086,1956,adult_females
0,2,1092,3772,adult_females
0,2,1095,2332,adult_females
0,2,1096,3277,adult_females
0,2,1112,2738,adult_females
0,2,1122,2944,adult_females
0,2,1126,3344,adult_females
0,2,1134,3451,adult_females
0,2,1150,2585,adult_females
0,2,1152,3059,adult_females
0,2,1158,2094,adult_females
0,2,1160,2807,adult_females
0,2,1162,2164,adult_females
0,2,1165,3141,adult_females
0,2,1170,2218,adult_females
0,2,1180,2533,adult_females
0,2,1182,3519,adult_females
0,2,1190,2002,adult_females
0,2,1190,2588,adult_females
0,2,1198,2395,adult_females
0,2,1218,3566,adult_females
0,2,1219,3130,adult_females
0,2,1222,2723,adult_females
0,2,1222,2906,adult_females
0,2,1224,3213,adult_females
0,2,1250,2066,adult_females
0,2,1254,3093,adult_females
0,2,1255,2125,adult_females
0,2,1265,1903,adult_females
0,2,1267,1968,adult_females
0,2,1275,2809,adult_females
0,2,1277,2685,adult_females
0,2,1286,2454,adult_females
0,2,1298,3401,adult_females
0,2,1302,2899,adult_females
0,2,1325,2218,adult_females
0,2,1332,1917,adult_females
0,2,1332,3223,adult_females
0,2,1340,3672,adult_females
0,2,1345,2173,adult_females
0,2,1355,2117,adult_females
0,2,1356,3331,adult_females
0,2,1357,3512,adult_females
0,2,1411,2281,adult_females
0,2,1412,3064,adult_females
0,2,1421,2944,adult_females
0,2,1426,3821,adult_females
0,2,1431,2803,adult_females
0,2,1433,3307,adult_females
0,2,1433,2231,adult_females
0,2,1440,3231,adult_females
0,2,1444,3679,adult_females
0,2,1447,2857,adult_females
0,2,1453,3581,adult_females
0,2,1474,3144,adult_females
0,2,1489,2680,adult_females
0,2,1490,3101,adult_females
0,2,1490,2905,adult_females
0,2,1502,3799,adult_females
0,2,1505,3335,adult_females
0,2,1507,2780,adult_females
0,2,1508,3703,adult_females
0,2,1538,2818,adult_females
0,2,1561,2960,adult_females
0,2,1565,3117,adult_females
0,2,1590,3245,adult_females
0,2,1601,3636,adult_females
0,2,1645,3438,adult_females
0,2,1658,2736,adult_females
0,2,1657,2877,adult_females
0,2,1663,3658,adult_females
0,2,1676,3020,adult_females
0,2,1692,3198,adult_females
0,2,1700,2124,adult_females
0,2,1718,1531,adult_females
0,2,1727,3293,adult_females
0,2,1732,3460,adult_females
0,2,1747,3356,adult_females
0,2,1760,3319,adult_females
0,2,1792,2737,adult_females
0,2,1793,2144,adult_females
0,2,1798,2857,adult_females
0,2,1798,2957,adult_females
0,2,1800,2005,adult_females
0,2,1804,4040,adult_females
0,2,1817,1891,adult_females
0,2,1821,2488,adult_females
0,2,1825,3463,adult_females
0,2,1833,2672,adult_females
0,2,1837,1245,adult_females
0,2,1858,1970,adult_females
0,2,1872,2564,adult_females
0,2,1876,3242,adult_females
0,2,1877,2781,adult_females
0,2,1881,2043,adult_females
0,2,1881,3596,adult_females
0,2,1882,3362,adult_females
0,2,1898,3163,adult_females
0,2,1924,2532,adult_females
0,2,1926,2243,adult_females
0,2,1936,1925,adult_females
0,2,1937,2665,adult_females
0,2,1944,2496,adult_females
0,2,1948,3412,adult_females
0,2,1954,1876,adult_females
0,2,1957,2054,adult_females
0,2,1961,2758,adult_females
0,2,1962,3289,adult_females
0,2,1976,2664,adult_females
0,2,1997,2103,adult_females
0,2,1998,2599,adult_females
0,2,2008,2682,adult_females
0,2,2009,3483,adult_females
0,2,2013,2340,adult_females
0,2,2028,1746,adult_females
0,2,2028,2036,adult_females
0,2,2030,3262,adult_females
0,2,2033,1934,adult_females
0,2,2040,1810,adult_females
0,2,2050,2404,adult_females
0,2,2051,1670,adult_females
0,2,2050,3553,adult_females
0,2,2054,3710,adult_females
0,2,2065,3310,adult_females
0,2,2064,3424,adult_females
0,2,2077,2060,adult_females
0,2,2078,2264,adult_females
0,2,2082,1604,adult_females
0,2,2105,2384,adult_females
0,2,2105,2346,adult_females
0,2,2113,1299,adult_females
0,2,2120,2801,adult_females
0,2,2135,1653,adult_females
0,2,2146,1844,adult_females
0,2,2146,1510,adult_females
0,2,2153,2365,adult_females
0,2,2192,2434,adult_females
0,2,2220,1241,adult_females
0,2,2221,2383,adult_females
0,2,2224,1833,adult_females
0,2,2228,2468,adult_females
0,2,2237,3283,adult_females
0,2,2244,1443,adult_females
0,2,2260,2372,adult_females
0,2,2265,1734,adult_females
0,2,2268,2902,adult_females
0,2,2274,1643,adult_females
0,2,2276,1803,adult_females
0,2,2286,2709,adult_females
0,2,2286,2038,adult_females
0,2,2304,1446,adult_females
0,2,2311,2091,adult_females
0,2,2328,3172,adult_females
0,2,2345,1509,adult_females
0,2,2357,2426,adult_females
0,2,2360,1736,adult_females
0,2,2362,1882,adult_females
0,2,2362,3088,adult_females
0,2,2367,1648,adult_females
0,2,2368,2893,adult_females
0,2,2372,2674,adult_females
0,2,2377,1827,adult_females
0,2,2380,1948,adult_females
0,2,2385,2180,adult_females
0,2,2388,1380,adult_females
0,2,2400,2340,adult_females
0,2,2400,3218,adult_females
0,2,2419,1701,adult_females
0,2,2428,2509,adult_females
0,2,2430,3119,adult_females
0,2,2431,2843,adult_females
0,2,2432,1227,adult_females
0,2,2434,3344,adult_females
0,2,2444,3048,adult_females
0,2,2454,1775,adult_females
0,2,2457,1333,adult_females
0,2,2472,2165,adult_females
0,2,2479,1649,adult_females
0,2,2484,2292,adult_females
0,2,2487,1441,adult_females
0,2,2500,2700,adult_females
0,2,2516,3075,adult_females
0,2,2527,2230,adult_females
0,2,2530,2325,adult_females
0,2,2532,1193,adult_females
0,2,2550,1619,adult_females
0,2,2554,1761,adult_females
0,2,2563,2458,adult_females
0,2,2571,1858,adult_females
0,2,2574,2782,adult_females
0,2,2581,2581,adult_females
0,2,2588,2716,adult_females
0,2,2596,1704,adult_females
0,2,2598,2051,adult_females
0,2,2612,2985,adult_females
0,2,2625,1273,adult_females
0,2,2624,2319,adult_females
0,2,2632,2851,adult_females
0,2,2645,3376,adult_females
0,2,2650,2398,adult_females
0,2,2656,2157,adult_females
0,2,2658,2498,adult_females
0,2,2660,2786,adult_females
0,2,2662,2532,adult_females
0,2,2679,1982,adult_females
0,2,2684,1833,adult_females
0,2,2690,3821,adult_females
0,2,2693,2232,adult_females
0,2,2700,2600,adult_females
0,2,2708,2121,adult_females
0,2,2712,2437,adult_females
0,2,2723,3870,adult_females
0,2,2727,1705,adult_females
0,2,2748,2214,adult_females
0,2,2748,2797,adult_females
0,2,2756,715,adult_females
0,2,2757,638,adult_females
0,2,2763,499,adult_females
0,2,2764,568,adult_females
0,2,2765,3077,adult_females
0,2,2783,2945,adult_females
0,2,2785,3768,adult_females
0,2,2787,3004,adult_females
0,2,2788,3250,adult_females
0,2,2788,3658,adult_females
0,2,2796,2070,adult_females
0,2,2796,2169,adult_females
0,2,2801,3886,adult_females
0,2,2803,2797,adult_females
0,2,2818,1376,adult_females
0,2,2828,3864,adult_females
0,2,2831,3789,adult_females
0,2,2835,1904,adult_females
0,2,2842,2330,adult_females
0,2,2845,4009,adult_females
0,2,2847,4034,adult_females
0,2,2852,2897,adult_females
0,2,2863,502,adult_females
0,2,2878,2143,adult_females
0,2,2879,3918,adult_females
0,2,2886,2169,adult_females
0,2,2892,880,adult_females
0,2,2902,1388,adult_females
0,2,2902,945,adult_females
0,2,2913,1677,adult_females
0,2,2918,2855,adult_females
0,2,2922,3489,adult_females
0,2,2925,572,adult_females
0,2,2926,3233,adult_females
0,2,2928,1337,adult_females
0,2,2929,1592,adult_females
0,2,2932,2476,adult_females
0,2,2989,2662,adult_females
0,2,2991,1486,adult_females
0,2,2994,2300,adult_females
0,2,3005,3722,adult_females
0,2,3026,1605,adult_females
0,2,3028,2397,adult_females
0,2,3034,3321,adult_females
0,2,3044,2498,adult_females
0,2,3051,1687,adult_females
0,2,3055,2685,adult_females
0,2,3068,2958,adult_females
0,2,3072,2051,adult_females
0,2,3075,2652,adult_females
0,2,3079,1797,adult_females
0,2,3084,1078,adult_females
0,2,3096,2888,adult_females
0,2,3104,3624,adult_females
0,2,3109,3399,adult_females
0,2,3126,2940,adult_females
0,2,3130,1605,adult_females
0,2,3140,4214,adult_females
0,2,3145,1758,adult_females
0,2,3152,2155,adult_females
0,2,3169,2404,adult_females
0,2,3169,2772,adult_females
0,2,3171,4221,adult_females
0,2,3173,899,adult_females
0,2,3183,4255,adult_females
0,2,3196,2286,adult_females
0,2,3200,2939,adult_females
0,2,3200,3592,adult_females
0,2,3205,1041,adult_females
0,2,3212,1118,adult_females
0,2,3212,4344,adult_females
0,2,3234,1877,adult_females
0,2,3237,2309,adult_females
0,2,3239,2204,adult_females
0,2,3248,924,adult_females
0,2,3262,1758,adult_females
0,2,3266,4565,adult_females
0,2,3272,2093,adult_females
0,2,3272,3328,adult_females
0,2,3292,4558,adult_females
0,2,3295,3092,adult_females
0,2,3326,2146,adult_females
0,2,3326,3481,adult_females
0,2,3332,3689,adult_females
0,2,3339,1480,adult_females
0,2,3346,3417,adult_females
0,2,3347,3932,adult_females
0,2,3368,3274,adult_females
0,2,3377,2621,adult_females
0,2,3377,2939,adult_females
0,2,3378,1915,adult_females
0,2,3381,3019,adult_females
0,2,3405,3456,adult_females
0,2,3412,2045,adult_females
0,2,3426,3393,adult_females
0,2,3446,3556,adult_females
0,2,3448,1063,adult_females
0,2,3451,1720,adult_females
0,2,3459,1008,adult_females
0,2,3458,1834,adult_females
0,2,3474,1578,adult_females
0,2,3491,3936,adult_females
0,2,3525,1466,adult_females
0,2,3543,3302,adult_females
0,2,3552,2014,adult_females
0,2,3569,2126,adult_females
0,2,3584,3493,adult_females
0,2,3596,3310,adult_females
0,2,3626,3394,adult_females
0,2,3635,2510,adult_females
0,2,3636,2620,adult_females
0,2,3643,3346,adult_females
0,2,3693,2674,adult_females
0,2,3724,3444,adult_females
0,2,3728,2881,adult_females
0,2,3730,1953,adult_females
0,3,60,4722,juveniles
0,3,171,4947,juveniles
0,3,343,2092,juveniles
0,3,365,3281,juveniles
0,3,417,3465,juveniles
0,3,473,4462,juveniles
0,3,490,4352,juveniles
0,3,492,4306,juveniles
0,3,506,4634,juveniles
0,3,525,4384,juveniles
0,3,527,4339,juveniles
0,3,532,4482,juveniles
0,3,553,4449,juveniles
0,3,564,4432,juveniles
0,3,576,4445,juveniles
0,3,881,3320,juveniles
0,3,1498,2208,juveniles
0,3,1546,1058,juveniles
0,3,1691,919,juveniles
0,3,1723,2070,juveniles
0,3,1727,953,juveniles
0,3,1756,3441,juveniles
0,3,1761,848,juveniles
0,3,1777,3559,juveniles
0,3,1906,548,juveniles
0,3,2276,1570,juveniles
0,3,2287,1847,juveniles
0,3,2321,2845,juveniles
0,3,2440,3070,juveniles
0,3,2489,1524,juveniles
0,3,2753,2832,juveniles
0,3,2793,1101,juveniles
0,3,2814,526,juveniles
0,3,2913,972,juveniles
0,3,3034,913,juveniles
0,3,3284,910,juveniles
0,3,3326,967,juveniles
0,3,3414,953,juveniles
0,3,3414,1013,juveniles
0,3,3470,3940,juveniles
0,3,3490,1009,juveniles
0,3,3515,3295,juveniles
0,4,31,4238,pups
0,4,80,2755,pups
0,4,87,3890,pups
0,4,89,4440,pups
0,4,134,4606,pups
0,4,135,3019,pups
0,4,140,4421,pups
0,4,153,2620,pups
0,4,157,2077,pups
0,4,169,2433,pups
0,4,193,3764,pups
0,4,205,3075,pups
0,4,209,2136,pups
0,4,209,2720,pups
0,4,211,2544,pups
0,4,219,3402,pups
0,4,220,3793,pups
0,4,237,2043,pups
0,4,254,2450,pups
0,4,271,2812,pups
0,4,276,3756,pups
0,4,278,3590,pups
0,4,281,3401,pups
0,4,305,3104,pups
0,4,313,2925,pups
0,4,333,4544,pups
0,4,341,3750,pups
0,4,354,3451,pups
0,4,385,3984,pups
0,4,388,3609,pups
0,4,392,2945,pups
0,4,420,2534,pups
0,4,422,3120,pups
0,4,429,2664,pups
0,4,432,3511,pups
0,4,448,2434,pups
0,4,450,4623,pups
0,4,460,1885,pups
0,4,462,3858,pups
0,4,480,4007,pups
0,4,504,2194,pups
0,4,509,3647,pups
0,4,525,2741,pups
0,4,532,3904,pups
0,4,566,3438,pups
0,4,587,3984,pups
0,4,607,2884,pups
0,4,625,3796,pups
0,4,638,2206,pups
0,4,646,2837,pups
0,4,648,4268,pups
0,4,663,3876,pups
0,4,665,3922,pups
0,4,698,4077,pups
0,4,706,1997,pups
0,4,706,3986,pups
0,4,745,2162,pups
0,4,747,4361,pups
0,4,782,2092,pups
0,4,792,2234,pups
0,4,818,3116,pups
0,4,834,2953,pups
0,4,835,3214,pups
0,4,840,2486,pups
0,4,845,3552,pups
0,4,848,3164,pups
0,4,852,4092,pups
0,4,863,3639,pups
0,4,865,4327,pups
0,4,882,2936,pups
0,4,895,3412,pups
0,4,896,2770,pups
0,4,898,3148,pups
0,4,906,2308,pups
0,4,920,2606,pups
0,4,924,3083,pups
0,4,955,2953,pups
0,4,961,2617,pups
0,4,966,3317,pups
0,4,981,2909,pups
0,4,987,2194,pups
0,4,988,3668,pups
0,4,989,2010,pups
0,4,992,3143,pups
0,4,1009,2772,pups
0,4,1015,3193,pups
0,4,1016,2923,pups
0,4,1021,2874,pups
0,4,1025,3782,pups
0,4,1036,3435,pups
0,4,1039,2262,pups
0,4,1070,3357,pups
0,4,1072,2088,pups
0,4,1078,3097,pups
0,4,1086,2575,pups
0,4,1088,2689,pups
0,4,1093,1935,pups
0,4,1093,3181,pups
0,4,1099,2944,pups
0,4,1116,3433,pups
0,4,1118,2376,pups
0,4,1123,2554,pups
0,4,1134,2086,pups
0,4,1136,2148,pups
0,4,1145,3583,pups
0,4,1157,2527,pups
0,4,1164,1938,pups
0,4,1170,3501,pups
0,4,1186,2790,pups
0,4,1192,2740,pups
0,4,1197,2650,pups
0,4,1214,3097,pups
0,4,1215,2121,pups
0,4,1218,3542,pups
0,4,1224,2014,pups
0,4,1224,2216,pups
0,4,1241,2848,pups
0,4,1243,2681,pups
0,4,1242,3671,pups
0,4,1264,2908,pups
0,4,1263,3057,pups
0,4,1278,2121,pups
0,4,1278,3246,pups
0,4,1293,3356,pups
0,4,1300,1967,pups
0,4,1302,3721,pups
0,4,1308,3017,pups
0,4,1316,2239,pups
0,4,1328,2640,pups
0,4,1338,3240,pups
0,4,1342,2139,pups
0,4,1358,2848,pups
0,4,1361,3302,pups
0,4,1373,2969,pups
0,4,1379,2302,pups
0,4,1383,3496,pups
0,4,1390,3074,pups
0,4,1396,3172,pups
0,4,1405,3812,pups
0,4,1406,3345,pups
0,4,1409,2241,pups
0,4,1414,2760,pups
0,4,1434,3660,pups
0,4,1456,3296,pups
0,4,1461,3556,pups
0,4,1464,3233,pups
0,4,1478,2700,pups
0,4,1499,3308,pups
0,4,1507,3776,pups
0,4,1510,3241,pups
0,4,1509,3082,pups
0,4,1516,3684,pups
0,4,1538,2947,pups
0,4,1584,3654,pups
0,4,1604,3023,pups
0,4,1610,3432,pups
0,4,1621,2981,pups
0,4,1657,2770,pups
0,4,1658,2861,pups
0,4,1706,1506,pups
0,4,1708,3183,pups
0,4,1739,3517,pups
0,4,1769,2743,pups
0,4,1776,3345,pups
0,4,1801,3438,pups
0,4,1806,2685,pups
0,4,1808,2924,pups
0,4,1812,2153,pups
0,4,1818,2876,pups
0,4,1836,1971,pups
0,4,1859,1878,pups
0,4,1862,2050,pups
0,4,1865,3556,pups
0,4,1876,3216,pups
0,4,1893,3147,pups
0,4,1901,2765,pups
0,4,1916,2022,pups
0,4,1937,3308,pups
0,4,1945,1909,pups
0,4,1950,2542,pups
0,4,1956,2247,pups
0,4,1978,2488,pups
0,4,1980,2631,pups
0,4,1985,2081,pups
0,4,1986,2310,pups
0,4,1995,2384,pups
0,4,1998,1857,pups
0,4,2009,2039,pups
0,4,2011,2717,pups
0,4,2014,1766,pups
0,4,2030,3340,pups
0,4,2033,1696,pups
0,4,2041,1915,pups
0,4,2045,3251,pups
0,4,2043,3573,pups
0,4,2045,3507,pups
0,4,2069,2338,pups
0,4,2072,1627,pups
0,4,2076,2044,pups
0,4,2084,1812,pups
0,4,2083,2250,pups
0,4,2088,2511,pups
0,4,2097,2401,pups
0,4,2113,3310,pups
0,4,2124,1820,pups
0,4,2146,1261,pups
0,4,2177,2454,pups
0,4,2189,1513,pups
0,4,2193,1689,pups
0,4,2198,2201,pups
0,4,2203,1430,pups
0,4,2205,1858,pups
0,4,2231,2169,pups
0,4,2248,1301,pups
0,4,2255,1807,pups
0,4,2257,2804,pups
0,4,2264,2873,pups
0,4,2267,2657,pups
0,4,2271,2335,pups
0,4,2282,2729,pups
0,4,2288,1748,pups
0,4,2289,1432,pups
0,4,2301,1668,pups
0,4,2311,2069,pups
0,4,2311,2200,pups
0,4,2315,1984,pups
0,4,2328,1517,pups
0,4,2336,3089,pups
0,4,2338,1186,pups
0,4,2344,1725,pups
0,4,2347,2675,pups
0,4,2369,2401,pups
0,4,2377,1899,pups
0,4,2389,1816,pups
0,4,2401,2913,pups
0,4,2409,1641,pups
0,4,2428,1733,pups
0,4,2437,3322,pups
0,4,2442,1633,pups
0,4,2450,2488,pups
0,4,2467,2274,pups
0,4,2475,1320,pups
0,4,2478,1761,pups
0,4,2486,2679,pups
0,4,2505,3171,pups
0,4,2507,2161,pups
0,4,2529,1480,pups
0,4,2529,2357,pups
0,4,2551,2218,pups
0,4,2555,1234,pups
0,4,2558,1734,pups
0,4,2582,1603,pups
0,4,2588,1925,pups
0,4,2593,2438,pups
0,4,2604,1646,pups
0,4,2608,1297,pups
0,4,2612,2292,pups
0,4,2616,2735,pups
0,4,2644,3006,pups
0,4,2648,2177,pups
0,4,2650,2427,pups
0,4,2653,2068,pups
0,4,2654,1809,pups
0,4,2660,2245,pups
0,4,2662,2754,pups
0,4,2712,2145,pups
0,4,2724,2586,pups
0,4,2728,1953,pups
0,4,2729,3074,pups
0,4,2731,665,pups
0,4,2733,2423,pups
0,4,2740,704,pups
0,4,2745,626,pups
0,4,2760,3250,pups
0,4,2765,489,pups
0,4,2768,1720,pups
0,4,2772,553,pups
0,4,2780,2922,pups
0,4,2789,3630,pups
0,4,2791,2235,pups
0,4,2796,3734,pups
0,4,2798,1880,pups
0,4,2811,1348,pups
0,4,2834,2046,pups
0,4,2838,2118,pups
0,4,2839,2353,pups
0,4,2848,2843,pups
0,4,2856,2109,pups
0,4,2884,2805,pups
0,4,2886,2882,pups
0,4,2891,1579,pups
0,4,2892,2293,pups
0,4,2911,2477,pups
0,4,2920,554,pups
0,4,2924,1657,pups
0,4,2942,1384,pups
0,4,2942,1949,pups
0,4,2942,3152,pups
0,4,2943,3220,pups
0,4,2944,3401,pups
0,4,2955,3496,pups
0,4,2962,1338,pups
0,4,2968,1522,pups
0,4,2973,2133,pups
0,4,3006,3707,pups
0,4,3016,2593,pups
0,4,3026,1584,pups
0,4,3026,3304,pups
0,4,3040,1715,pups
0,4,3048,2473,pups
0,4,3049,1798,pups
0,4,3049,2714,pups
0,4,3053,2930,pups
0,4,3078,1646,pups
0,4,3089,1122,pups
0,4,3094,2638,pups
0,4,3111,2893,pups
0,4,3140,2906,pups
0,4,3164,2089,pups
0,4,3188,3570,pups
0,4,3203,1089,pups
0,4,3217,2195,pups
0,4,3235,2712,pups
0,4,3238,1057,pups
0,4,3307,3306,pups
0,4,3351,3684,pups
0,4,3368,3924,pups
0,4,3373,2645,pups
0,4,3377,1930,pups
0,4,3388,1117,pups
0,4,3504,1589,pups
0,4,3536,1471,pups
0,4,3582,2143,pups
0,4,3582,3342,pups
0,4,3601,1941,pups
0,4,3614,3478,pups
0,4,3621,3357,pups
0,4,3625,2657,pups
0,4,3648,2598,pups
0,4,3657,2537,pups
0,4,3691,1981,pups
0,4,3710,2694,pups
0,4,3726,3486,pups
0,4,3732,3142,pups
1,0,871,2233,adult_males
1,0,2880,3012,adult_males
1,1,834,2579,subadult_males
1,1,908,2961,subadult_males
1,1,932,3045,subadult_males
1,1,956,2244,subadult_males
1,1,1036,2276,subadult_males
1,1,1068,2366,subadult_males
1,1,1444,3201,subadult_males
1,1,1475,2762,subadult_males
1,1,1483,2858,subadult_males
1,1,1707,4023,subadult_males
1,1,1816,2112,subadult_males
1,1,1957,3060,subadult_males
1,1,2420,4501,subadult_males
1,1,2455,3437,subadult_males
1,1,2514,3521,subadult_males
1,1,2809,4351,subadult_males
1,1,2816,3998,subadult_males
1,1,2959,4609,subadult_males
1,1,2992,4574,subadult_males
1,1,3056,4654,subadult_males
1,3,1086,3231,juveniles
1,3,1372,2576,juveniles
1,3,1463,3487,juveniles
1,3,1668,4806,juveniles
1,3,2118,3278,juveniles
1,3,2556,3612,juveniles
1,3,2660,3524,juveniles
1,3,2702,3032,juveniles
1,3,2747,4396,juveniles
1,3,2933,4437,juveniles
1,3,3414,4781,juveniles
1,3,3610,3619,juveniles
2,0,1773,2083,adult_males
2,0,1817,2272,adult_males
2,2,834,2581,adult_females
2,2,909,2587,adult_females
2,2,1682,2165,adult_females
2,2,1688,2216,adult_females
2,2,1702,2241,adult_females
2,2,1711,2215,adult_females
2,2,1715,2156,adult_females
2,2,1725,2266,adult_females
2,2,1732,2162,adult_females
2,2,1733,2106,adult_females
2,2,1741,2124,adult_females
2,2,1751,2094,adult_females
